Ancient	ancient_agriculture_seasonal_pasture_preservation_0001	Seasonal Pasture Preservation	Early communities used seasonal harvest technology for preservation pasture systems.	agriculture,pottery_storage_amphorae
Classical	classical_agriculture_cooperative_pasture_testing_0001	Cooperative Pasture Testing	Complex states and cities used cooperative harvest technology for testing pasture systems.	state_grain_price_controls,tax_accounting
Medieval	medieval_agriculture_remote_pasture_distribution_0001	Remote Pasture Distribution	Guilds, courts, monasteries, and towns used remote harvest technology for distribution pasture systems.	crop_rotation_three_field,watermills
Renaissance	renaissance_agriculture_low_waste_pasture_drying_0001	Low Waste Pasture Drying	Workshops, merchants, navies, and scholars used low waste harvest technology for drying pasture systems.	experimental_botany_gardens,chemical_recipe_books
Industrial	industrial_agriculture_regulated_rail_silo_processing_0001	Regulated Rail Silo Processing	Factories, utilities, laboratories, and cities used regulated farm technology for processing rail silo systems.	chemical_fertilizers,industrial_canning_lines
Modern	modern_agriculture_continuous_pasture_milling_0001	Continuous Pasture Milling	Networked institutions and automated systems used continuous harvest technology for milling pasture systems.	gps_guided_logistics,satellite_remote_sensing
Future	future_agriculture_continuous_pasture_milling_0001	Continuous Pasture Milling	Advanced automated societies could use continuous harvest technology for milling pasture systems.	vertical_farming_megafarms,synthetic_food_bioreactors
Ancient	ancient_materials_rapid_bead_sewing_0001	Rapid Bead Sewing	Early communities used rapid ceramic technology for sewing bead systems.	bronze_working,woodworking_basic
Classical	classical_materials_seasonal_wooden_form_joining_0001	Seasonal Wooden Form Joining	Complex states and cities used seasonal ceramic technology for joining wooden form systems.	glassmaking,concrete
Medieval	medieval_materials_continuous_horseshoe_riveting_0001	Continuous Horseshoe Riveting	Guilds, courts, monasteries, and towns used continuous metal technology for riveting horseshoe systems.	advanced_metallurgy_medieval,fulling_mills
Renaissance	renaissance_materials_cooperative_copper_plate_engraving_0001	Cooperative Copper Plate Engraving	Workshops, merchants, navies, and scholars used cooperative textile technology for engraving copper plate systems.	chemical_assay_laboratories,standardized_typefounding
Industrial	industrial_materials_remote_stone_casting_0001	Remote Stone Casting	Factories, utilities, laboratories, and cities used remote manufacturing technology for casting stone systems.	precision_machine_tools,bessemer_steel_conversion
Modern	modern_materials_open_stone_laminating_0001	Open Stone Laminating	Networked institutions and automated systems used open manufacturing technology for laminating stone systems.	computer_aided_manufacturing_cam_systems,3d_printing_additive_manufacturing
Future	future_materials_open_stone_laminating_0001	Open Stone Laminating	Advanced automated societies could use open manufacturing technology for laminating stone systems.	nanotechnology,quantum_materials_foundries
Ancient	ancient_energy_adaptive_fuel_stack_lighting_0001	Adaptive Fuel Stack Lighting	Early communities used adaptive fuel technology for lighting fuel stack systems.	charcoal_production,fire_control
Classical	classical_energy_open_screw_pump_draining_0001	Open Screw Pump Draining	Complex states and cities used open heating technology for draining screw pump systems.	water_clock_timekeeping,public_bath_heating
Medieval	medieval_energy_sealed_gear_train_venting_0001	Sealed Gear Train Venting	Guilds, courts, monasteries, and towns used sealed mill technology for venting gear train systems.	watermills,windmills
Renaissance	renaissance_energy_continuous_bellows_gearing_0001	Continuous Bellows Gearing	Workshops, merchants, navies, and scholars used continuous draft technology for gearing bellows systems.	clockwork_mechanisms,experimental_mining_assays
Industrial	industrial_energy_rapid_turbine_hall_generating_0001	Rapid Turbine Hall Generating	Factories, utilities, laboratories, and cities used rapid motor technology for generating turbine hall systems.	steam_turbine_power_generation,electrical_grid_early_distribution
Modern	modern_energy_high_reliability_solar_insulation_0001	High Reliability Solar Insulation	Networked institutions and automated systems used high reliability grid technology for insulation solar systems.	solar_photovoltaics,renewable_microgrids
Future	future_energy_high_reliability_solar_insulation_0001	High Reliability Solar Insulation	Advanced automated societies could use high reliability grid technology for insulation solar systems.	fusion_power,space_based_solar_power
Ancient	ancient_transport_rapid_tow_rope_sledging_0001	Rapid Tow Rope Sledging	Early communities used rapid transport technology for sledging tow rope systems.	wheeled_vehicles,wooden_sledges
Classical	classical_transport_seasonal_grain_barge_repairing_0001	Seasonal Grain Barge Repairing	Complex states and cities used seasonal harbor technology for repairing grain barge systems.	roads,harbor_customs_houses
