Modern	modern_medicine_large_scale_herb_triage_0237	Large Scale Herb Triage	Networked institutions and automated systems developed large scale herb triage as a medical practice for care delivery, diagnosis, prevention, and biological control.	electronic_health_records,dna_sequencing
Future	future_medicine_large_scale_herb_triage_0237	Large Scale Herb Triage	Advanced automated societies could develop large scale herb triage as a medical practice for care delivery, diagnosis, prevention, and biological control.	synthetic_biology,ai_clinical_care_networks
Ancient	ancient_science_portable_leveling_trench_forecasting_0237	Portable Leveling Trench Forecasting	Early communities developed portable leveling trench forecasting as a scientific practice for measurement, observation, modeling, and standards.	calendars,field_boundary_survey_stones
Classical	classical_science_community_field_forecasting_0237	Community Field Forecasting	Complex states and cities developed community field forecasting as a scientific practice for measurement, observation, modeling, and standards.	geometry,astrolabe_early
Medieval	medieval_science_resilient_field_classifying_0237	Resilient Field Classifying	Guilds, courts, monasteries, and towns developed resilient field classifying as a scientific practice for measurement, observation, modeling, and standards.	universities_research_curricula,astrolabe_quadrant
Renaissance	renaissance_science_high_reliability_field_standardizing_0237	High Reliability Field Standardizing	Workshops, merchants, navies, and scholars developed high reliability field standardizing as a scientific practice for measurement, observation, modeling, and standards.	scientific_method,telescope
Industrial	industrial_science_modular_field_computing_0237	Modular Field Computing	Factories, utilities, laboratories, and cities developed modular field computing as a scientific practice for measurement, observation, modeling, and standards.	radioactivity_discovery,laboratory_diagnostic_medicine
Modern	modern_science_compact_field_sampling_0237	Compact Field Sampling	Networked institutions and automated systems developed compact field sampling as a scientific practice for measurement, observation, modeling, and standards.	cloud_data_warehouses,satellite_remote_sensing
Future	future_science_compact_field_sampling_0237	Compact Field Sampling	Advanced automated societies could develop compact field sampling as a scientific practice for measurement, observation, modeling, and standards.	ai_scientist_automated_discovery,quantum_sensors_high_precision_measurement
Ancient	ancient_governance_specialized_ration_queue_assigning_0237	Specialized Ration Queue Assigning	Early communities developed specialized ration queue assigning as a administrative practice for administration, law, public order, and coordination.	taxation_and_tribute,census
Classical	classical_governance_adaptive_tax_auditing_0237	Adaptive Tax Auditing	Complex states and cities developed adaptive tax auditing as a administrative practice for administration, law, public order, and coordination.	bureaucracy,tax_accounting
Medieval	medieval_governance_high_reliability_tax_reporting_0237	High Reliability Tax Reporting	Guilds, courts, monasteries, and towns developed high reliability tax reporting as a administrative practice for administration, law, public order, and coordination.	market_town_charters,guilds
Renaissance	renaissance_governance_open_tax_coordination_0237	Open Tax Coordination	Workshops, merchants, navies, and scholars developed open tax coordination as a administrative practice for administration, law, public order, and coordination.	patent_systems,military_engineer_corps
Industrial	industrial_governance_high_capacity_tax_credentialing_0237	High Capacity Tax Credentialing	Factories, utilities, laboratories, and cities developed high capacity tax credentialing as a administrative practice for administration, law, public order, and coordination.	labor_unions_collective_bargaining,industrial_safety_codes
Modern	modern_governance_portable_tax_planning_0237	Portable Tax Planning	Networked institutions and automated systems developed portable tax planning as a administrative practice for administration, law, public order, and coordination.	digital_identity_federation,cybersecurity_operations_centers
Future	future_governance_portable_tax_planning_0237	Portable Tax Planning	Advanced automated societies could develop portable tax planning as a administrative practice for administration, law, public order, and coordination.	ai_governance_ethics_frameworks_robust,ai_treaty_verification_systems
Ancient	ancient_finance_portable_temple_loan_storing_0237	Portable Temple Loan Storing	Early communities developed portable temple loan storing as a commercial practice for trade, accounting, risk, and settlement.	barter,clay_tablet_receipts
